disasterno,Country,Location,Disaster type,Date,Year,Total deaths,Latitude,Longitude
2000-0012,Mozambique,Chokwe,Flood,,2000,800.0,-24.56177412,32.95529265
2000-0012,Mozambique,Manhica,Flood,,2000,800.0,-25.30894953,32.82550277
2000-0012,Mozambique,Manica,Flood,,2000,800.0,-19.02183442,33.42940088
2000-0012,Mozambique,Tete,Flood,,2000,800.0,-15.5180484,32.76875953
2000-0012,Mozambique,Inhambane,Flood,,2000,800.0,-22.80887901,34.51464613
2000-0012,Mozambique,Sofala,Flood,,2000,800.0,-19.06197641,34.67534108
2000-0012,Mozambique,Chibuto,Flood,,2000,800.0,-24.30044317,33.61295063
2000-0012,Mozambique,Mabalane,Flood,,2000,800.0,-23.4779122,32.73720416
2000-0012,Mozambique,Magude,Flood,,2000,800.0,-24.70185045,32.43940654
2000-0012,Mozambique,Marracune,Flood,,2000,800.0,-25.6522687,32.71464738
2000-0012,Mozambique,Matutuine,Flood,,2000,800.0,-26.52435974,32.56154951
2000-0012,Mozambique,Chokwe,Flood,,2000,800.0,-24.56177412,32.95529265
2000-0012,Mozambique,Manhica,Flood,,2000,800.0,-25.30894953,32.82550277
2000-0012,Mozambique,Manica,Flood,,2000,800.0,-19.02183442,33.42940088
2000-0012,Mozambique,Tete,Flood,,2000,800.0,-15.5180484,32.76875953
2000-0012,Mozambique,Inhambane,Flood,,2000,800.0,-22.80887901,34.51464613
2000-0012,Mozambique,Sofala,Flood,,2000,800.0,-19.06197641,34.67534108
2000-0012,Mozambique,Chibuto,Flood,,2000,800.0,-24.30044317,33.61295063
2000-0012,Mozambique,Mabalane,Flood,,2000,800.0,-23.4779122,32.73720416
2000-0012,Mozambique,Magude,Flood,,2000,800.0,-24.70185045,32.43940654
2000-0012,Mozambique,Marracune,Flood,,2000,800.0,-25.6522687,32.71464738
2000-0012,Mozambique,Matutuine,Flood,,2000,800.0,-26.52435974,32.56154951
2000-0012,Mozambique,Chokwe,Flood,,2000,800.0,-24.56177412,32.95529265
2000-0012,Mozambique,Manhica,Flood,,2000,800.0,-25.30894953,32.82550277
2000-0012,Mozambique,Manica,Flood,,2000,800.0,-19.02183442,33.42940088
2000-0012,Mozambique,Tete,Flood,,2000,800.0,-15.5180484,32.76875953
2000-0012,Mozambique,Inhambane,Flood,,2000,800.0,-22.80887901,34.51464613
2000-0012,Mozambique,Sofala,Flood,,2000,800.0,-19.06197641,34.67534108
2000-0043,South Africa,Guateng,Flood,,2000,83.0,-26.10606905,28.12646848
2000-0043,South Africa,Limpopo,Flood,,2000,83.0,-23.78573005,29.28952133
2000-0043,South Africa,Mpumalanga Kwa-Zulu Natal,Flood,,2000,83.0,-29.80518641,30.84990053
2000-0043,South Africa,Guateng,Flood,,2000,83.0,-26.10606905,28.12646848
2000-0043,South Africa,Limpopo,Flood,,2000,83.0,-23.78573005,29.28952133
2000-0043,South Africa,Mpumalanga Kwa-Zulu Natal,Flood,,2000,83.0,-29.80518641,30.84990053
2000-0043,South Africa,Guateng,Flood,,2000,83.0,-26.10606905,28.12646848
2000-0043,South Africa,Limpopo,Flood,,2000,83.0,-23.78573005,29.28952133
2000-0043,South Africa,Mpumalanga Kwa-Zulu Natal,Flood,,2000,83.0,-29.80518641,30.84990053
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.04843595,26.36991464
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.5470095,27.48212525
2000-0048,Botswana, Mahalapye,Flood,2000-01-02,2000,3.0,-23.25990197,26.33293846
2000-0048,Botswana,Selibe-Phikwe,Flood,2000-01-02,2000,3.0,-21.97918814,27.84895927
2000-0048,Botswana, Tlokweng,Flood,2000-01-02,2000,3.0,-24.97241921,25.77204255
2000-0048,Botswana, Gaborone,Flood,2000-01-02,2000,3.0,-24.61961963,25.93114972
2000-0048,Botswana, Kweneng,Flood,2000-01-02,2000,3.0,-23.86278543,24.68633655
2000-0048,Botswana, Mabutsane,Flood,2000-01-02,2000,3.0,-24.59440679,24.10048232
2000-0048,Botswana, Francistowa,Flood,2000-01-02,2000,3.0,-21.01455213,27.56760204
2000-0048,Botswana, Kgarleng,Flood,2000-01-02,2000,3.0,-24.15241759,26.35184209
2000-0048,Botswana, Kgalagadi,Flood,2000-01-02,2000,3.0,-24.85626422,21.75346845
2000-0048,Botswana, Lobaste,Flood,2000-01-02,2000,3.0,-25.21379877,25.68549914
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.04843595,26.36991464
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.5470095,27.48212525
2000-0048,Botswana, Mahalapye,Flood,2000-01-02,2000,3.0,-23.25990197,26.33293846
2000-0048,Botswana,Selibe-Phikwe,Flood,2000-01-02,2000,3.0,-21.97918814,27.84895927
2000-0048,Botswana, Tlokweng,Flood,2000-01-02,2000,3.0,-24.97241921,25.77204255
2000-0048,Botswana, Gaborone,Flood,2000-01-02,2000,3.0,-24.61961963,25.93114972
2000-0048,Botswana, Kweneng,Flood,2000-01-02,2000,3.0,-23.86278543,24.68633655
2000-0048,Botswana, Mabutsane,Flood,2000-01-02,2000,3.0,-24.59440679,24.10048232
2000-0048,Botswana, Francistowa,Flood,2000-01-02,2000,3.0,-21.01455213,27.56760204
2000-0048,Botswana, Kgarleng,Flood,2000-01-02,2000,3.0,-24.15241759,26.35184209
2000-0048,Botswana, Kgalagadi,Flood,2000-01-02,2000,3.0,-24.85626422,21.75346845
